Url,Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
https://123ginseng.vn/cau-hoi-thuong-gap/,123ginseng.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123go.vn/20-spartanracevietnam,123go.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
https://webv3.123go.vn/,webv3.123go.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123gogo.vn/,123gogo.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123gym.vn/,123gym.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123host.vn/?utm_campaign=WHTop.com&utm_medium=Listed-on-WHTop.com&utm_source=Biggest-Web-Hosting-Directory&utm_term=ItsFree,123host.vn,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://blog.123host.vn/2017/03/27/uu-va-khuyet-diem-cua-viec-thue-vps-gia-re/,blog.123host.vn,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
https://client.123host.vn/,client.123host.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://cloud-backup.123host.vn/bc/api/ams/links/agents/redirect?language=multi&channel=CURRENT&system=sql&productType=enterprise&login=9c5ca31c-bf84-4037-9856-2e599d710774&white_labeled=1,cloud-backup.123host.vn,0,0,1,6,0,0,0,1,0,1,1,1,0,0,1,0,0
http://gshield.123host.vn/,gshield.123host.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123in.vn/12-bi-quyet-ban-hang-truc-tuyen-hieu-qua-moi-nhat-2021/,123in.vn,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0
https://blog.123in.vn/robots.txt,blog.123in.vn,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
http://hotro.123in.vn/,hotro.123in.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://shop.123in.vn/2013/08/,shop.123in.vn,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0
https://123job.vn/,123job.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://www.123job.vn/,123job.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://business.123job.vn/robots.txt,business.123job.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123media.vn/robots.txt,123media.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123muanhanh.vn/,123muanhanh.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123ngon.vn/,123ngon.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123po.vn/2019/05/22/123po-la-gi/,123po.vn,0,0,0,4,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123sao.vn/10-ca-khuc-nao-se-duoc-chon-neu-thuy-nga-paris-by-night-lam-mot-collection-cho-nhu-quynh,123sao.vn,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123shop.vn/brand/123shop/,123shop.vn,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0
https://123sports.vn/danh-muc/ao-cau-lac-bo/juventus/,123sports.vn,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1,0
https://123tailieu.vn/1kg-bang-bao-nhieu-gam/,123tailieu.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123tamquoc.vn/home,123tamquoc.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
http://123thue.vn/robots.txt,123thue.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123tienich.vn/robots.txt,123tienich.vn,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
https://123top.vn/,123top.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123tourdulichnhatrang.vn/,123tourdulichnhatrang.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123train.vn,123train.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://blog.123train.vn/banner-grid/,blog.123train.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
https://help.123train.vn/doanh-nghiep/quan-ly-bai-hoc,help.123train.vn,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
http://huuhong.123website.vn/robots.txt,huuhong.123website.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
http://123win.vn/,123win.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123wow.vn/blogs/kien-thuc,123wow.vn,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123xe.vn/cms/,123xe.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
https://126.vn/,126.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://127home.vn/danh-muc-san-pham/den-trang-tri/den-tran/den-op-tran/,127home.vn,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
http://www.12bay.vn/,12bay.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://12bay.vn/,12bay.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://blog.12bay.vn/,blog.12bay.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://12bikershop.vn/?attachment_id=1128,12bikershop.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://12bit.vn/robots.txt,12bit.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
https://wpstory.12bit.vn/,wpstory.12bit.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://12gio.vn/,12gio.vn,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
https://12kimma.vn/,12kimma.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
